"block_name","function","module","review_flag"
"apply_function","Applies a function to each element of the DataFrame.","DataScience","False"
"check_missing_data","Checks if there are any missing (NaN) values in the DataFrame.","DataScience","False"
"concatenate_dataframes","Concatenates multiple DataFrames along rows or columns.","DataScience","False"
"create_dataframe","Create a DataFrame using the specified columns and data.","DataScience","False"
"cumulative_sum","Adds a new column with the cumulative sum of the specified column.","DataScience","False"
"describe_data","Generates descriptive statistics of the DataFrame.","DataScience","False"
"df_head","Get the first few rows of the DataFrame.","DataScience","False"
"df_replace","Replace values in the DataFrame using the specified variable.","DataScience","False"
"drop_by_index","Drops rows or columns by index.","DataScience","False"
"drop_columns","Drops specified columns from the DataFrame.","DataScience","False"
"drop_duplicates","Drop duplicate rows from the DataFrame","DataScience","False"
"extract_date","Extracts date components (year, month, day) from a DateTime column.","DataScience","False"
"fillna_values","Fill NaN values in a column with a specified value","DataScience","False"
"filter_data","Filters the data based on the specified condition.","DataScience","False"
"get_dataframe_shape","Gets the shape (number of rows and columns) of the DataFrame.","DataScience","False"
"group_by_and_aggregate","Groups the DataFrame by specified column(s) and applies specified aggregations.","DataScience","False"
"group_by_and_transform","Group by a column and transform the grouped data using a specified method","DataScience","False"
"group_data","Groups the data by the specified column.","DataScience","False"
"import_pandas","Import the pandas library and alias it as 'pd'.","DataScience","False"
"list_to_dataframe","Converts a list into a Pandas DataFrame.","DataScience","False"
"manual_dataframe","Creates a pandas DataFrame from manual input.","DataScience","False"
"merge_dataframes","Merges two DataFrames together based on common columns or indices.","DataScience","False"
"numpy_abs","","DataScience","True"
"numpy_arccos","","DataScience","True"
"numpy_arcsin","","DataScience","True"
"numpy_arctan","","DataScience","True"
"numpy_argmax","","DataScience","True"
"numpy_argmin","","DataScience","True"
"numpy_bincount","","DataScience","True"
"numpy_concatenate_arrays","","DataScience","True"
"numpy_cos","","DataScience","True"
"numpy_create_array","Create a Numpy array from given values","DataScience","False"
"numpy_cross_product","","DataScience","True"
"numpy_cumulative_sum","","DataScience","True"
"numpy_determinant","","DataScience","True"
"numpy_diff","","DataScience","True"
"numpy_dot_product","","DataScience","True"
"numpy_eigenvalues","","DataScience","True"
"numpy_eigenvectors","","DataScience","True"
"numpy_elementwise_addition","","DataScience","True"
"numpy_elementwise_division","","DataScience","True"
"numpy_elementwise_multiplication","","DataScience","True"
"numpy_elementwise_subtraction","","DataScience","True"
"numpy_exp","Apply exponential function from NumPy","DataScience","False"
"numpy_fill_diagonal","","DataScience","True"
"numpy_flip","","DataScience","True"
"numpy_histogram","","DataScience","True"
"numpy_inverse","","DataScience","True"
"numpy_lcm","Find the least common multiple (LCM) of two numbers.","DataScience","False"
"numpy_log","","DataScience","True"
"numpy_matrix_multiplication","","DataScience","True"
"numpy_max","","DataScience","True"
"numpy_mean","","DataScience","True"
"numpy_min","","DataScience","True"
"numpy_product","Calculate the product of elements in an array.","DataScience","False"
"numpy_random_choice","","DataScience","True"
"numpy_random_normal","","DataScience","True"
"numpy_random_uniform","","DataScience","True"
"numpy_reshape_array","","DataScience","True"
"numpy_roll","","DataScience","True"
"numpy_sin","","DataScience","True"
"numpy_sort","Sorts a numpy array.","DataScience","False"
"numpy_sqrt","","DataScience","True"
"numpy_std","","DataScience","True"
"numpy_sum","","DataScience","True"
"numpy_tan","","DataScience","True"
"numpy_transpose_array","","DataScience","True"
"numpy_unique","","DataScience","True"
"numpy_var","","DataScience","True"
"pandas_create_series","Creates a pandas Series from data with specified index.","DataScience","False"
"pandas_select_rows","Selects rows from a DataFrame using iloc.","DataScience","False"
"pandas_with_open","Use Pandas with the open statement to handle files.","DataScience","False"
"pd_timestamp","Create a Timestamp from the specified variable.","DataScience","False"
"pivot_table","Creates a pivot table from the DataFrame with specified values, index, and columns.","DataScience","False"
"plot_data","Plots the selected data. Choose the type of plot and columns to plot against each other.","DataScience","False"
"read_csv","Reads data from a CSV file and creates a DataFrame.","DataScience","False"
"rename_columns","Renames columns of the DataFrame with specified new names.","DataScience","False"
"replace_values","Replaces old values with new ones in the specified column.","DataScience","False"
"reset_index","Reset the index of the DataFrame","DataScience","False"
"select_columns","Selects specific columns from the DataFrame.","DataScience","False"
"set_index","Sets the specified column as the index of the DataFrame.","DataScience","False"
"sort_data","Sorts the data based on the values in the specified column.","DataScience","False"
"transpose_dataframe","Transposes the DataFrame (rows become columns and vice versa).","DataScience","False"
"add_key_value","Adds a key-value pair to the dictionary.","Dictionary","False"
"check_key_exists","Checks if a given key exists in the dictionary.","Dictionary","False"
"clear_dictionary","Clears all key-value pairs from the dictionary.","Dictionary","False"
"create_dictionary","Creates an empty dictionary.","Dictionary","False"
"create_dictionary_with_items","Creates a dictionary with initial key-value pairs.","Dictionary","False"
"dictionary_length","Gets the number of key-value pairs in the dictionary.","Dictionary","False"
"get_all_items","Gets all key-value pairs from the dictionary as a list of tuples.","Dictionary","False"
"get_all_keys","Gets all the keys from the dictionary.","Dictionary","False"
"get_all_values","Gets all the values from the dictionary.","Dictionary","False"
"get_keys_as_list","Gets all keys from the dictionary as a list.","Dictionary","False"
"get_value_by_key","Gets the value associated with the given key from the dictionary.","Dictionary","False"
"get_values_as_list","Gets all values from the dictionary as a list.","Dictionary","False"
"iterate_over_dictionary","Iterates over each key-value pair in the dictionary.","Dictionary","False"
"remove_key","Removes the key-value pair for the given key from the dictionary.","Dictionary","False"
"update_value_by_key","Updates the value for the given key in the dictionary.","Dictionary","False"
"django_collectstatic","Collects static files from each of your applications into a single location.","Django","False"
"django_create_admin","Creates a superuser with administrative privileges.","Django","False"
"django_create_admin_action","Creates a custom admin action for use in Django admin interface.","Django","False"
"django_create_app","Creates a new Django application within the project.","Django","False"
"django_create_authentication_backend","Creates a custom authentication backend for Django authentication.","Django","False"
"django_create_cache_middleware","Creates cache middleware for caching in Django applications.","Django","False"
"django_create_celery_task","Creates a Celery task for background processing in Django.","Django","False"
"django_create_custom_field","Creates a custom model field for use in Django models.","Django","False"
"django_create_form","Creates a new form in Django forms.","Django","False"
"django_create_group","Creates a new group with the provided name.","Django","False"
"django_create_management_command","Creates a custom management command for Django projects.","Django","False"
"django_create_management_form","Creates a custom management form for Django admin interface.","Django","False"
"django_create_middleware","Creates custom middleware for processing HTTP requests in Django.","Django","False"
"django_create_migration","Creates a new migration file in Django for database changes.","Django","False"
"django_create_model","Creates a new model in Django ORM.","Django","False"
"django_create_project","Creates a new Django project.","Django","False"
"django_create_rest_api","Creates a RESTful API using Django Rest Framework.","Django","False"
"django_create_serializer","Creates a new serializer class in Django REST Framework.","Django","False"
"django_create_signal","Creates a custom signal for inter-app communication in Django.","Django","False"
"django_create_template","Creates a new template file in Django.","Django","False"
"django_create_template_tag","Creates a custom template tag for use in Django templates.","Django","False"
"django_create_url","Creates a URL pattern for routing in Django applications.","Django","False"
"django_create_user","Creates a new user with the provided username and password.","Django","False"
"django_create_view","Creates a new view in Django.","Django","False"
"django_createsuperuser","Creates a superuser account for Django admin interface.","Django","False"
"django_dumpdata","Outputs the contents of the database as a fixture of the given app.","Django","False"
"django_loaddata","Installs the named fixture(s) in the database.","Django","False"
"django_makemigrations","Creates new migration files for app models that have changed.","Django","False"
"django_manage","Runs a Django management command.","Django","False"
"django_migrate","Applies migrations to the database.","Django","False"
"django_runserver","Starts the Django development server.","Django","False"
"django_shell","Launches the Django interactive Python shell.","Django","False"
"django_test","Runs tests for all the test cases in the specified application.","Django","False"
"file_close","Close the file.","FileIO","False"
"file_copy","Copy a file from source to destination.","FileIO","False"
"file_delete","Delete a file.","FileIO","False"
"file_exists","Check if a file exists.","FileIO","False"
"file_extension","Get the extension of a file.","FileIO","False"
"file_handling_with_input","Write contents to a file.","FileIO","False"
"file_move","Move or rename a file.","FileIO","False"
"file_open","Open a file with the specified mode.","FileIO","False"
"file_read","Read the contents of the file.","FileIO","False"
"file_rename","Rename a file.","FileIO","False"
"file_size","Get the size of a file in bytes.","FileIO","False"
"file_write","Write content to the file.","FileIO","False"
"get_file_contents","Get input for file contents.","FileIO","False"
"list_files","List all files in a directory.","FileIO","False"
"print","Print a message.","FileIO","False"
"write_data_to_csv","Write data to a CSV file.","FileIO","False"
"flask_abort","Aborts the current request and returns an error response.","Flask","False"
"flask_apscheduler","Integrates Flask APScheduler for task scheduling.","Flask","False"
"flask_bcrypt","Integrates Flask-Bcrypt for password hashing.","Flask","False"
"flask_cache","Integrates Flask Cache for caching support.","Flask","False"
"flask_compress","Integrates Flask Compress for compressing responses.","Flask","False"
"flask_cors","Integrates Flask-CORS for Cross-Origin Resource Sharing support.","Flask","False"
"flask_create_app","Creates a new Flask application instance.","Flask","False"
"flask_debug_toolbar","Integrates Flask Debug Toolbar for debugging.","Flask","False"
"flask_jwt_extended","Integrates Flask-JWT-Extended for JSON Web Token support.","Flask","False"
"flask_limiter","Integrates Flask Limiter for rate limiting.","Flask","False"
"flask_login","Integrates Flask-Login for user session management.","Flask","False"
"flask_login_manager","Integrates Flask-Login Manager for user authentication.","Flask","False"
"flask_mail","Integrates Flask-Mail for email support.","Flask","False"
"flask_marshmallow","Integrates Flask-Marshmallow for object serialization and deserialization.","Flask","False"
"flask_migrate","Integrates Flask-Migrate for database migrations.","Flask","False"
"flask_oauthlib","Integrates Flask-OAuthLib for OAuth support.","Flask","False"
"flask_pymongo","Integrates Flask-PyMongo for MongoDB support.","Flask","False"
"flask_redirect","Redirects the client to a different URL.","Flask","False"
"flask_redis","Integrates Flask-Redis for Redis support.","Flask","False"
"flask_render_template","Renders a template with the provided data.","Flask","False"
"flask_request","Gets the request object for the current HTTP request.","Flask","False"
"flask_response","Creates a Flask response object.","Flask","False"
"flask_restful","Integrates Flask-RESTful for creating REST APIs.","Flask","False"
"flask_restx","Integrates Flask-RESTX for extended REST APIs.","Flask","False"
"flask_route","Defines a route for the Flask application.","Flask","False"
"flask_simple_captcha","Integrates Flask Simple Captcha for captcha support.","Flask","False"
"flask_socketio","Integrates Flask-SocketIO for WebSocket support.","Flask","False"
"flask_sqlalchemy","Integrates SQLAlchemy with Flask for database management.","Flask","False"
"flask_wtf","Integrates Flask-WTF for handling web forms.","Flask","False"
"builtin_functions","Apply a selected built-in function to the input value.","Functions","False"
"calculate_average","Calculate the average value of a list of variables.","Functions","False"
"calculate_factorial","Calculate the factorial of a number.","Functions","False"
"calculate_mean_absolute_deviation","Calculate the mean absolute deviation of a list of numbers.","Functions","False"
"calculate_median","Calculate the median of a list of numbers.","Functions","False"
"calculate_power","Calculate the power of a base raised to an exponent.","Functions","False"
"calculate_standard_deviation","Calculate the standard deviation of a list of numbers.","Functions","False"
"calculate_sum","Calculate the sum of a list of numbers.","Functions","False"
"calculate_variance","Calculate the variance of a list of numbers.","Functions","False"
"find_maximum","Find the maximum value in a list of numbers.","Functions","False"
"function_call","Calls a function with specified arguments.","Functions","False"
"ardublock_logic_boolean","","General","True"
"ardublock_logic_compare","","General","True"
"math_abs","Returns the absolute value of a number.","General","False"
"math_ceil","Returns the smallest integer greater than or equal to a number.","General","False"
"math_divmod","Returns the quotient and remainder when dividing two numbers.","General","False"
"math_floor","Returns the largest integer less than or equal to a number.","General","False"
"math_len","Returns the length of a string, list, or array.","General","False"
"math_max","Returns the maximum value in a list or array.","General","False"
"math_min","Returns the minimum value in a list or array.","General","False"
"math_pow","Raises a number to the power of another number.","General","False"
"math_round","Rounds a number to a specified number of decimal places.","General","False"
"math_sqrt","Returns the square root of a number.","General","False"
"math_sum","Returns the sum of all items in an iterable.","General","False"
"new_boundary_function","","General","True"
"numeric_input","Takes numeric input from the user.","General","False"
"return","","General","True"
"text_isalpha","Checks if the text is alphabetic.","General","False"
"text_islower","Checks if the text is in lowercase.","General","False"
"text_isupper","Checks if the text is in uppercase.","General","False"
"text_replace","Replaces occurrences of a substring with a new substring.","General","False"
"text_split","Splits the text by the specified delimiter.","General","False"
"f_string","Generates an f-string.","Lists","False"
"list_add_item","","Lists","True"
"list_add_item_container","","Lists","True"
"list_add_multiple","Add multiple items to a list.","Lists","False"
"list_append","Append an item to the end of a list.","Lists","False"
"list_del","Delete an item from a list at a specific index.","Lists","False"
"list_method","Create a new empty list.","Lists","False"
"arithmetic_operator","","Logic","True"
"assignment_operator","Assignment Operator","Logic","False"
"bitwise_operator","","Logic","True"
"comparison_operator","","Logic","True"
"controls_else","Do the following if the previous conditions were false.","Logic","False"
"controls_if_elif","If the previous conditions were false, and this condition is true, do the following.","Logic","False"
"controls_if_else","If the condition is true, do the first block of commands. Otherwise, do the second block of commands.","Logic","False"
"if_elif_else_dropdown","Choose between if, elif, or else and add statements.","Logic","False"
"logical_operator","","Logic","True"
"membership_operator","","Logic","True"
"add_dense_layer","Add a Dense layer to the model","MachineLearning","False"
"compile_model","Compile the defined model","MachineLearning","False"
"define_conv2d_layer","Define a Conv2D layer in the model","MachineLearning","False"
