id,title,description,suiteId,moduleId,categoryId
variables_cast,cast %1 to %2,Casts a value to the specified type.,unassigned,variables_basic_types,unassigned
variables_get_with_default,value %1 or default %2,"Returns the value if it is not None, otherwise returns the default.",unassigned,variables_basic_types,unassigned
unittest_main,run unit tests,Runs the unit tests.,tools_testing,unittest,cat_unittest
unittest_testcase,test case %1,Defines a test case.,tools_testing,unittest,cat_unittest
unittest_testfunction,test function %1,Defines a test function within a test case.,tools_testing,unittest,cat_unittest
unittest_assert_equal,assert equal %1 %2,Asserts that two values are equal.,tools_testing,unittest,cat_unittest
unittest_assert_true,assert true %1,Asserts that a value is true.,tools_testing,unittest,cat_unittest
unittest_assert_false,assert false %1,Asserts that a value is false.,tools_testing,unittest,cat_unittest
unittest_assert_raises,assert raises %1 with %2,Asserts that a specific exception is raised.,tools_testing,unittest,cat_unittest
tuples_create_with,create tuple,Creates a tuple with any number of items.,unassigned,tuples_structs,unassigned
tuples_unpack,unpack %1 into variables %2,Unpacks a tuple into a comma-separated list of variables.,unassigned,tuples_structs,unassigned
tuples_create_simplenamespace,create namespace from dictionary %1,Creates a SimpleNamespace object from a dictionary.,unassigned,tuples_structs,unassigned
tuples_count,in tuple %1 count occurrences of item %2,Counts the number of occurrences of an item in a tuple.,essentials,tuples_structs,cat_tuples
tuples_index,in tuple %1 find first occurrence of item %2,Returns the index of the first occurrence of an item in a tuple.,essentials,tuples_structs,cat_tuples
tuples_create_with_container,items %1 %2,"Add, remove, or reorder items to reconfigure this tuple block.",unassigned,tuples_structs,unassigned
tuples_create_with_item,item,Add an item to the tuple.,unassigned,tuples_structs,unassigned
transformers_pipeline,create transformers pipeline for %1,Creates a Hugging Face pipeline for a given task.,transformers,transformers,cat_pipelines
torch_tensor,create torch tensor from %1,Creates a PyTorch tensor from a list or NumPy array.,pytorch,torch,cat_tensors
torch_tensor_shape,shape of tensor %1,Returns the shape of a PyTorch tensor.,pytorch,torch,cat_tensors
torch_tensor_reshape,reshape tensor %1 to shape %2,"Returns a tensor with the same data and number of elements as input, but with the specified shape.",pytorch,torch,cat_tensors
torch_zeros,create tensor of zeros with shape %1,Creates a tensor filled with zeros.,pytorch,torch,cat_tensors
torch_ones,create tensor of ones with shape %1,Creates a tensor filled with ones.,pytorch,torch,cat_tensors
torch_randn,create random tensor with shape %1,Creates a tensor with random numbers from a normal distribution.,pytorch,torch,cat_tensors
torch_nn_module,define torch neural network %1,Defines a neural network as a class that inherits from torch.nn.Module.,pytorch,torch,cat_nn_layers
torch_nn_linear,linear layer: in %1 out %2,Applies a linear transformation to the incoming data.,pytorch,torch,cat_nn_layers
torch_nn_conv2d,Conv2D layer: in_channels %1 out_channels %2 kernel_size %3,Applies a 2D convolution over an input signal composed of several input planes.,pytorch,torch,cat_nn_layers
torch_nn_maxpool2d,MaxPool2D layer: kernel_size %1,Applies a 2D max pooling over an input signal.,pytorch,torch,cat_nn_layers
torch_nn_relu,ReLU activation,Applies the rectified linear unit function element-wise.,pytorch,torch,cat_nn_layers
torch_nn_dropout,dropout layer: p %1,"During training, randomly zeroes some of the elements of the input tensor with probability p.",pytorch,torch,cat_nn_layers
torch_nn_embedding,embedding layer: num_embeddings %1 embedding_dim %2,A simple lookup table that stores embeddings of a fixed dictionary and size.,pytorch,torch,cat_nn_layers
torch_nn_lstm,LSTM layer: input_size %1 hidden_size %2,Applies a multi-layer long short-term memory (LSTM) RNN to an input sequence.,pytorch,torch,cat_nn_layers
torch_custom_dataset,define custom torch dataset %1,Defines a custom PyTorch dataset.,pytorch,torch,cat_data
torch_dataloader,create DataLoader for dataset %1,Creates a DataLoader for iterating over a dataset.,pytorch,torch,cat_data
torch_loss_function,loss function %1,Creates a loss function instance.,pytorch,torch,cat_training
torch_optimizer,optimizer %1 for parameters %2 with learning rate %3,Creates an optimizer instance.,pytorch,torch,cat_training
torch_train_loop,train for %1 epochs:,A flexible training loop for a PyTorch model.,pytorch,torch,cat_training
torch_save,save model state %1 to file %2,Saves a model's state dictionary.,pytorch,torch,cat_model_management
torch_load,load model state for %1 from file %2,Loads a model's state dictionary from a file.,pytorch,torch,cat_model_management
tools_test_define_case,define test case %1 %2,Defines a test case.,unassigned,tools_testing,unassigned
tools_assert_equal,assert equal a %1 b %2,Asserts that two values are equal.,unassigned,tools_testing,unassigned
tools_assert_true,assert true %1,Asserts that a condition is true.,unassigned,tools_testing,unassigned
tools_run_tests,run all tests,Runs all defined test cases.,unassigned,tools_testing,unassigned
tools_test_fixture,test fixture setup %1 teardown %2,Defines a test fixture with setup and teardown.,unassigned,tools_testing,unassigned
tools_timeit_block,time execution of %1,Times the execution of a block of code.,unassigned,tools_testing,unassigned
tools_profile_start_stop,%1 profiling,Starts or stops the profiler.,unassigned,tools_testing,unassigned
tools_memory_snapshot,take memory snapshot,Takes a snapshot of memory usage.,unassigned,tools_testing,unassigned
tools_trace_function,trace function %1,Traces the execution of a function.,unassigned,tools_testing,unassigned
tools_log_debug,log debug message %1 with data %2,Logs a debug message.,unassigned,tools_testing,unassigned
tools_log_to_file,log message %1 to file %2,Logs a message to a file. (Gated),unassigned,tools_testing,unassigned
tools_capture_stacktrace,capture stacktrace,Captures the current stacktrace.,unassigned,tools_testing,unassigned
tools_argparse_define,define CLI argument %1,Defines a command-line argument.,unassigned,tools_testing,unassigned
tools_argparse_parse,parse CLI arguments,Parses command-line arguments.,unassigned,tools_testing,unassigned
tools_print_help,print CLI help,Prints the command-line help message.,unassigned,tools_testing,unassigned
text_to_lines,get lines from text %1,Splits a multi-line text into a list of lines.,text_localization,text_localization,cat_text_utilities
text_indent,indent text %1 with %2,Indents each line of a text with a prefix.,text_localization,text_localization,cat_text_utilities
text_unindent,unindent text %1,Unindents a block of text.,text_localization,text_localization,cat_text_utilities
text_preview,preview of text %1 with limit %2,"Creates a preview of a text, truncated to a certain length.",text_localization,text_localization,cat_text_utilities
text_template_render_jinja,render jinja template %1 with context %2,Renders a Jinja2 template.,text_localization,text_localization,cat_templating
text_template_safe_render,safely render template %1 with context %2,Safely renders a template in a sandboxed environment.,text_localization,text_localization,cat_templating
text_re_search,search regex %1 in text %2 with flags %3,Searches for a regex pattern in a string.,text_localization,text_localization,cat_regex_parsing
text_re_match,match regex %1 at start of text %2 with flags %3,Matches a regex pattern at the beginning of a string.,text_localization,text_localization,cat_regex_parsing
text_re_findall,find all regex %1 in text %2 with flags %3,Finds all occurrences of a regex pattern in a string.,text_localization,text_localization,cat_regex_parsing
text_re_replace,in text %1 replace regex %2 with %3 flags %4,Replaces occurrences of a regex pattern in a string.,text_localization,text_localization,cat_regex_parsing
text_re_split,split text %1 by regex %2 with flags %3,Splits a string by a regex pattern.,text_localization,text_localization,cat_regex_parsing
text_regex_flags,regex flags %1,Regex flags.,text_localization,text_localization,cat_regex_parsing
text_i18n_register,register translations for lang %1 with mapping %2,Registers a dictionary of translations for a language.,text_localization,text_localization,cat_i18n_localization
text_i18n_translate,translate key %1 lang %2,Translates a key using the registered translations.,text_localization,text_localization,cat_i18n_localization
text_i18n_plural,pluralize for key %1 count %2 lang %3,Handles pluralization based on a count.,text_localization,text_localization,cat_i18n_localization
text_i18n_set_locale,set current locale to %1,Sets the current language for translation.,text_localization,text_localization,cat_i18n_localization
text_i18n_get_locale,get current locale,Gets the current language for translation.,text_localization,text_localization,cat_i18n_localization
text_alt_text_generate,generate alt text from metadata %1 lang %2,Generates alternative text for an image from its metadata.,text_localization,text_localization,cat_i18n_localization
text_normalize_unicode,normalize unicode %1 to form %2,Normalizes Unicode text to a standard form.,text_localization,text_localization,cat_core_text
text_remove_accents,remove accents from %1,Removes accents from a string.,text_localization,text_localization,cat_core_text
text_slugify,slugify %1,Converts a string into a URL-friendly slug.,text_localization,text_localization,cat_core_text
text_fix_encoding,fix encoding of %1,Fixes mojibake and other encoding issues in text.,text_localization,text_localization,cat_core_text
testing_test_case,define test case %1,Defines a test case. Use assert blocks inside. Name must start with 'test_'.,unassigned,testing_quality,unassigned
testing_run_tests,run all tests,Runs all defined test cases and returns a summary report.,unassigned,testing_quality,unassigned
tensorflow_keras_sequential_model,create sequential Keras model %1,Creates a Keras Sequential model.,tensorflow,tensorflow,cat_keras_core
tensorflow_keras_add_dense_layer,add dense layer with %1 units and %2 activation,Adds a Dense layer to the Keras model.,tensorflow,tensorflow,cat_layers
tensorflow_keras_compile_model,compile Keras model %1,Configures the model for training.,tensorflow,tensorflow,cat_keras_core
tensorflow_keras_fit_model,fit Keras model %1 to data %2 labels %3,Trains the model for a fixed number of epochs (iterations on a dataset).,tensorflow,tensorflow,cat_keras_core
keras_model_to_json,convert keras model %1 to JSON,Serializes the model architecture to a JSON string.,tensorflow,tensorflow,cat_model_management
keras_model_from_json,create keras model from JSON %1,Parses a JSON model configuration file and returns a model instance.,tensorflow,tensorflow,cat_model_management
keras_save_model,save keras model %1 to file %2,Saves a model as a TensorFlow SavedModel or a single HDF5 file.,tensorflow,tensorflow,cat_model_management
keras_load_model,load keras model from file %1,Loads a model saved via model.save().,tensorflow,tensorflow,cat_model_management
keras_layer_conv2d,"add Conv2D layer with %1 filters, kernel size %2, activation %3",Adds a 2D convolution layer.,tensorflow,tensorflow,cat_layers
keras_layer_maxpooling2d,add MaxPooling2D layer with pool size %1,Max pooling operation for 2D spatial data.,tensorflow,tensorflow,cat_layers
keras_layer_flatten,add flatten layer,Flattens the input. Does not affect the batch size.,tensorflow,tensorflow,cat_layers
keras_layer_dropout,add dropout layer with rate %1,Applies Dropout to the input.,tensorflow,tensorflow,cat_layers
